District,Zone
Lohit,Green
Changiang,Green
Dibang Valley,Green
East Kameng,Green
East Siang,Green
Krurung Kumey,Green
Lowe Dibag Valley,Green
Lower Subansiri,Green
Papum Pare,Green
Tawang,Green
Tirap,Green
Upper Siang,Green
Upper Subansiri,Green
West Kameng,Green
West Siang,Green
Anjaw,Green
Longding,Green
KraDaadi,Green
Namsai,Green
Siang,Green
Kamle,Green
Lower Siang,Green
PakkeKessang,Green
Leparanda,Green
Shi Yomi,Green
Udalguri,Green
Biswanath,Green
Majuli,Green
Charaideo,Green
Hohai,Green
West KarbiAnglong,Green
