District,Zone
Dhubri,Orange
Marigaon,Orange
Golpara,Orange
Golaghat,Green
Karimganj,Green
Naibari,Green
Hailakandi,Green
Cachar,Green
Kamrup,Green
Lakhimpur,Green
Kamrup Metro,Green
South SalmaraMancachar,Green
Berpeta,Green
Bongaigaon,Green
Darrang,Green
Dhemaji,Green
Jorhat,Green
KarbiAnglong,Green
Kokrajhar,Green
Dima Hasao,Green
Sivasagar,Green
Sonitpur,Green
Tinsukia,Green
Chirag,Green
Baksa,Green
Udalguri,Green
Biswanath,Green
Majuli,Green
Charaideo,Green
Hohai,Green
West KarbiAnglong,Green
