District,Zone
Munger,Red
Partna,Red
Rohtas,Red
Buxar,Red
Gaya,Red
Nalanda,Orange
Kaimur(Bhabua),Orange
Siwan,Orange
Golpalganj,Orange
Bhojpur,Orange
Begusarai,Orange
Aurangabad,Orange
Madhubani,Orange
PurbiChamparan,Orange
Bhagalpur,Orange
Arwal,Orange
Saran,Orange
Nawada,Orange
Lakhisarai,Orange
Banka,Orange
Vaishali,Orange
Darbhanga,Orange
Jehnabad,Orange
Madhepura,Orange
Purnia,Orange
Sheikhpura,Green
Araraia,Green
Jamui,Green
Katihar,Green
Khagaria,Green
Kishanganj,Green
Muzaffarpur,Green
PashcimhChamparan,Green
Saharsa,Green
Samastipur,Green
Sheohar,Green
Sitamarhi,Green
Supaul,Green
