District,Zone
Ahmadabad,Red
Surat,Red
Vadodara,Red
Anand,Red
Banas Kantha,Red
PachMahals,Red
Bhavnagar,Red
Gandhinagar,Red
Arvalli,Red
Rajkot,Orange
Bharuch,Orange
Botad,Orange
Narmada,Orange
Chhotaudepur,Orange
Mahisagar,Orange
Mahesana,Orange
Patan,Orange
Kheda,Orange
Vaisad,Orange
Dohad,Orange
Kachchh,Orange
Navsari,Orange
GirSomnath,Orange
Dang,Orange
SabarKantha,Orange
Tapi,Orange
Jamnangar,Orange
Surendranagar,Orange
Morbi,Green
Amreli,Green
Porbandar,Green
Junagadh,Green
Devbhumi Dwarka,Green
