District,Zone
Bengaluru Urban,Red
Mysuru,Red
Bengaluru Rural,Red
Belagavi,Orange
Vijaypura,Orange
Kalaburagi,Orange
Bagalkote,Orange
Mandya,Orange
Ballari,Orange
Bharwad,Orange
Dakshina Kannada,Orange
Bidar,Orange
Chikkaballapura,Orange
Gadag,Orange
Uttara Kannada,Orange
Tumakuru,Orange
Davangere,Green
Udupi,Green
Chamarajanagara,Green
Chikamagaluru,Green
Chitradunga,Green
Hassan,Green
Haveri,Green
Kodagu,Green
Kolar,Green
Koppal,Green
Paichur,Green
Shivamogga,Green
Ramanagara,Green
Yadgir,Green
Kunnur,Green
