District,Zone
Indore,Red
Bhopal,Red
Ujjain,Red
Jabalpur,Red
Bhar,Red
Barwani,Red
East Nimar,Red
Dewas,Red
Gwalior,Red
Khargine,Orange
Raisen,Orange
Hoshangabad,Orange
Ratlam,Orange
Agar Malwa,Orange
Mandsaur,Orange
Sagar,Orange
Shajapur,Orange
Chhindwara,Orange
Alirajpur,Orange
Tikamgarh,Orange
Shahdol,Orange
Sheopur,Orange
Dindori,Orange
Burhanpur,Orange
Harda,Orange
Betul,Orange
Vidisha,Orange
Morena,Orange
Rewa,Green
Ashoknagar,Green
Rajgarah,Green
Shivpuri,Green
Anuppur,Green
Balaghat,Green
Bhind,Green
Chhatarpur,Green
Damoh,Green
Datia,Green
Guna,Green
Jhabua,Green
Katni,Green
Mandla,Green
Narsighpur,Green
Neemuch,Green
Panna,Green
Satna,Green
Sehore,Green
Seoni,Green
Sidhhi,Green
Umaria,Green
Singrauli,Green
Niwari,Green
