District,Zone
Mumbai,Red
Pune,Red
Thane,Red
Nshik,Red
Palghar,Red
Nagpur,Red
Solpur,Red
Yavatmal,Red
Aurangabad,Red
Stara,Red
Dhule,Red
Akola,Red
Jalgaon,Red
Mumbai Suburban,Red
Raigad,Orange
Ahmedabad,Orange
Amravati,Orange
Buldhana,Orange
Nandurbar,Orange
Kolhapur,Orange
Hingoli,Orange
Ratnagiri,Orange
Jalna,Orange
Nanded,Orange
Chandrapur,Orange
Parbhani,Orange
Sangli,Orange
Latur,Orange
Bhandara,Orange
beed,Orange
Osmanabad,Orange
Washim,Orange
Sindhudurg,Orange
Gondia,Orange
Gadchiroli,Green
Wardha,Green
