District,Zone
Jaipur,Red
Jodhpur,Red
Kota,Red
Ajmer,Red
Bharatpur,Red
Nagaur,Red
Banswara,Red
Jhalawar,Red
Tonk,Orange
Jaisalmer,Orange
Dausa,Orange
Jhunjhunu,Orange
Hanumangarh,Orange
Bhilwara,Orange
SawaiMadhopur,Orange
Chittorgarh,Orange
Dungarpur,Orange
Udaipur,Orange
Dholpur,Orange
Sikar,Orange
Alwar,Orange
Bikaner,Orange
Churu,Orange
Pali,Orange
Barmer,Orange
Karauli,Orange
Rajsamand,Orange
Baran,Green
Bundi,Green
Ganganagar,Green
Jalore,Green
Sirohi,Green
Pratapgarh,Green
