District,Zone
Chennai,Red
Madurai,Red
Namakkal,Red
Thanjabur,Red
Chengalpattu,Red
Thiruvallur,Red
Trippur,Red
Ranipet,Red
Virudhunagar,Red
Thiruvarur,Red
Vellore,Red
Kanchipuram,Red
Theni,Orange
Tenkasi,Orange
Nagapattinam,Orange
Dindigul,Orange
Villupuram,Orange
Coimbatore,Orange
Cuddalore,Orange
Salem,Orange
Karur,Orange
Tuticorin,Orange
Tiruchirapalli,Orange
Tirupathur,Orange
Kanniyakumari,Orange
Tirubannamalai,Orange
Ramnathapuram,Orange
Tirunelveli,Orange
The Nilgiris,Orange
Sivaganga,Orange
Perambalur,Orange
Kallajurichi,Orange
Ariyalur,Orange
Erode,Orange
Pudukkottai,Orange
Dharmapuri,Orange
Ksishnagiri,Green
