District,Zone
Hyderabad,Red
Suryapet,Red
Ranga Redyy,Red
MedchalMalkajgiri,Red
Vikrabad,Red
Warangal Urban,Red
Nizambad,Orange
JogulambaGadwal,Orange
Nirmal,Orange
Nalgonda,Orange
Adilabad,Orange
Sangareddy,Orange
Kamareddy,Orange
KumuramBhemAsifabad,Orange
Karimnagar,Orange
Khammam,Orange
Mahabubnaagar,Orange
Jagitial,Orange
RajannaSicilla,Orange
JayashankarBhupalapally,Orange
Medak,Orange
Jangoan,Orange
Narayanpet,Orange
Mancherial,Orange
Peddapali,Orange
Nagarkurnool,Green
Mulugu,Green
BhadradruKothagudem,Green
Mahabubabad,Green
Siddipet,Green
Warangal Rural,Green
Warabapoarthy,Green
YaradriBhuvangiri,Green
