District,Zone
Agra,Red
Lucknow,Red
Sharanpur,Red
Kanpur Nagar,Red
Moradabad,Red
Firozpur,Red
Gautam Budhha Nagar,Red
Bulandhshhr,Red
Meerut,Red
Rae Bareli,Red
Varanasi,Red
Bijnor,Red
Amroha,Red
Saznt Kabeer Nagar,Red
Aligarh,Red
Muzaffarnagar,Red
Rampur,Red
Mathura,Red
Bareilly,Red
Ghaziabad,Orange
Hapur,Orange
Baghpat,Orange
Basti,Orange
Budaun,Orange
Sambhal,Orange
Auraiya,Orange
Shamli,Orange
Bahraich,Orange
Kannauj,Orange
Azamgarg,Orange
Mainpuri,Orange
Shravasti,Orange
Banda,Orange
Haunpur,Orange
Etah,Orange
Jasganj,Orange
Sultanpur,Orange
Prayagraj,Orange
Jalaun,Orange
Mirzapur,Orange
Etawah,Orange
Pratapgarh,Orange
Ghazipur,Orange
Gonda,Orange
Mau,Orange
Bhadohi,Orange
Unnao,Orange
Pilibhit,Orange
Balrampur,Orange
Ayodhya,Orange
Gorakhpur,Orange
Jhansi,Orange
Hardoi,Orange
Kaushambi,Orange
Barabanki,Green
Kheri,Green
Hathras,Green
Maharajganj,Green
Shahjahanpur,Green
Ambedkar Nagar,Green
Ballia,Green
Chandauli,Green
Chitrakoot,Green
Deoria,Green
Farrukhbad,Green
Fatehpur,Green
Hamirpur,Green
Kanpur Dehat,Green
Khusi Nagar,Green
Lalitpur,Green
MAhoba,Green
Sidhharth Nagar,Green
Sombhandra,Green
Amethi,Green
