Name,Address,Location,Type,,,
"All India Institute of Medical Sciences, New Delhi","All India Institute of Medical Sciences, Sri Aurobindo Marg, Ansari Nagar, Ansari Nagar East, New Delhi, Delhi 110029",New Delhi,Government Laboratory,,,
"Lady Hardinge Medical College, New Delhi","Lady Hardinge Medical College, Connaught Place, New Delhi, Delhi 110001",New Delhi,Government Laboratory,,,
"National Centre for Disease Control, New Delhi","National Centre for Disease Control, 22, Sham Nath Marg, Civil Lines, New Delhi, Delhi 110054",New Delhi,Government Laboratory,,,
"Ram Manohar Lohia Hospital, New Delhi","Ram Manohar Lohia Hospital, Type III, President's Estate, New Delhi, Delhi 110001",New Delhi,Government Laboratory,,,
"Institute of Liver and Biliary Sciences, New Delhi","Institute of Liver and Biliary Sciences, D1 ILBS Road, Vasant Kunj, New Delhi, Delhi 110070",New Delhi,Government Laboratory,,,
"Army Hospital Research & Referral, New Delhi","Army Hospital Research & Referral, Military Hospital Road Near, Subroto Park, Dhaula Kuan, New Delhi, Delhi 110010",New Delhi,Government Laboratory,,,
"Maulana Azad Medical College, New Delhi","Maulana Azad Medical College, 2, Bahadur Shah Zafar Marg, New Delhi, Delhi 110002",New Delhi,Government Laboratory,,,
"Vardhman Mahavir Medical College and Safdarjung Hospital, New Delhi","Vardhman Mahavir Medical College and Safdarjung Hospital, Ansari Nagar East, New Delhi, Delhi 110029",New Delhi,Government Laboratory,,,
"Dr Lal PathLabs, National Reference laboratory","Dr Lal PathLabs, National Reference laboratory, B7 Rd, Block E, Sector 18, Rohini, New Delhi, Delhi 110085",New Delhi,Private Laboratory,,,
"Dr. Dang’s Lab, New Delhi","Dr. Dang’s Lab, C2/1 SDA Aurbindo Marg, New Delhi 110016",New Delhi,Private Laboratory,,,
"Laboratory Services Indraprastha Apollo Hospitals, Sarita Vihar, New Delhi","Laboratory Services Indraprastha Apollo Hospitals, Sarita Vihar, New Delhi 110076",New Delhi,Private Laboratory,,,
"Max lab, Max Super Speciality Hospita, Saket, New Delhi","Max lab, Max Super Speciality Hospital, 1, Press Enclave Road, Saket New Delhi 110017",New Delhi,Private Laboratory,,,
"Sir ganga ram hospital clinical laboratory services, New Delhi","Sir ganga ram hospital clinical laboratory services, Sarhadi Gandhi Marg, Old Rajinder Nagar, Rajinder Nagar, New Delhi, Delhi 110060",New Delhi,Private Laboratory,,,
"ONCQUEST Laboratories Limited, New Delhi","ONCQUEST Laboratories Limited 3-Factory Road, Adjacent Safdarjung Hospital, New Delhi, Delhi 110029",New Delhi,Private Laboratory,,,
"Prognosis Laboratories, New Delhi","Prognosis Laboratories, 515-516, behind Gupta Properties, Close to Welcome Hotel (ITC, Sector 19, Pocket 1, Dwarka, New Delhi, Delhi 110075",New Delhi,Private Laboratory,,,
"City x-Ray & Scan Clinic Pvt. Ltd., New Delhi","City X Ray & Scan Clinic Pvt. Ltd., Molecular Laboratory, Third Floor,City Imaging Building, 4B/18, Tilak Nagar, Near haldiram, New Delhi 110018",New Delhi,Private Laboratory,,,
"Lifeline Laboratory, New Delhi","Lifeline Laboratory, H-11, Green Park Extension, New Delhi, Delhi 110016",New Delhi,Private Laboratory,,,
"Department of Laboratory Services, Dr. B.L. Kapur Memorial Hospital New Delhi","Department of Laboratory Services, Dr. B.L. Kapur Memorial Hospital, 5, Pusa Road, New Delhi-110005, India",New Delhi,Private Laboratory,,,
,,,,,,
