Name,Address,Location,Type,,,
"All India Institute of Medical Sciences (AIIMS), Bhopal","All India Institute of Medical Sciences (AIIMS), AIIMS Campus Rd, Saket Nagar, Habib Ganj, Bhopal, Madhya Pradesh 462026",Bhopal,Government Laboratory,,,
"National Institute for Research in Tribal Health, Jabalpur","National Institute for Research in Tribal Health, Nagpur Road, near NSCB Medical Collage, Dhanvantri Nagar, Shastri Nagar, Jabalpur, Madhya Pradesh 482003",Jabalpur,Government Laboratory,,,
"Mahatma Gandhi Memorial Medical College, Indore","MGM Medical College, A.B.Road, Indore, 452001 Indore, Madhya Pradesh",Indore,Government Laboratory,,,
"Gandhi Medical College, Bhopal","Gandhi Medical College, Sultania Rd, near Hamidia Hospital, Royal Market, Bhopal, Madhya Pradesh 462001",Bhopal,Government Laboratory,,,
"Bhopal Memorial Hospital & Research Centre, Bhopal","Bhopal Memorial Hospital & Research Centre, Raisen Rd, Near Best Price, BMHRC Campus, Karond, Bhopal, Madhya Pradesh 462038",Bhopal,Government Laboratory,,,
"Gajra Raja Medical College, Gwalior","Gajra Raja Medical College, Yadav Colony, Lashkar, Gwalior, Madhya Pradesh 474009",Gwalior,Government Laboratory,,,
"ICAR-National Institute of High Security Animal Diseases (ICAR-NIHSAD), Bhopal","ICAR-National Institute of High Security Animal Diseases (ICAR-NIHSAD), Anand Nagar, Bhopal- 462022, Madhya Pradesh, India",Bhopal,Government Laboratory,,,
"Defence Research & Development Establishment (DRDE), Gwalior","Defence Research & Development Organisation, Jhansi Road, Gwalior-474002, Madhya Pradesh",Gwalior,Government Laboratory,,,
"Bundelkhand Government College, Sagar","Bundelkhand Government College, Shivaji Ward, Tili Rd, Sagar, Madhya Pradesh 470001",Sagar,Government Laboratory,,,
"Chirayu Medical College & Hospital, Bhopal","Chirayu Medical College & Hospital, Bhopal Indore Highway Bhainsakhedi, Bairagarh, Bhopal, Madhya Pradesh 462030",Bhopal,Private Laboratory,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
