Name,Address,Location,Type,,,
"National Institute of Virology, Pune","National Institute of Virology, Pune, 130/1, Pashan - Sus Rd, Pashan Gaon, Pashan, Pune, Maharashtra 411021",Pune,Government Laboratory,,,
"Seth GS Medical College & KEM Hospital, Mumbai","Seth GS Medical College & KEM Hospital, Acharya Donde Marg, Parel, Mumbai, Maharashtra 400012",Mumbai,Government Laboratory,,,
"Kasturba Hospital for Infectious Diseases, Mumbai","Kasturba Hospital for Infectious Diseases, Sane Guruji Marg, Arya Nagar, Chinchpokli, Mumbai, Maharashtra 400034",Mumbai,Government Laboratory,,,
"National Institute of Virology Field Unit, Mumbai","National Institute of Virology Field Unit, Haffkine Institute Compound, A D Marg, Parel Mumbai 4000012",Mumbai,Government Laboratory,,,
"Armed Forces Medical College, Pune","Armed Forces Medical College, Southern Command, Solapur Road, Wanowrie, near Race Course, Pune, Maharashtra 411040",Pune,Government Laboratory,,,
"BJ Medical College, Pune","BJ Medical College, Jai Prakash Narayan Road, Railway Station Rd, near Pune, Maharashtra 411001",Pune,Government Laboratory,,,
"Indira Gandhi Government Medical College & Hospital, Nagpur","Indira Gandhi Government Medical College & Hospital, Mayo Hospital, Central Ave, Mominpura, Nagpur 440018",Nagpur,Government Laboratory,,,
"Grant Medical College & Sir JJ Hospital, Mumbai","Grant Medical College & Sir JJ Hospital, J J Marg, Nagpada-Mumbai Central, Noor Baug, Mazgaon, Mumbai, Maharashtra 400008",Mumbai,Government Laboratory,,,
Govt Medical College & Hospital Aurangabad,"Govt Medical College & Hospital, University Road, Jubilee Park, Aurangabad, Maharashtra 431004",Aurangabad,Government Laboratory,,,
"V. M. Govt. Medical College, Solapur","V. M. Govt. Medical College, Opp. District Court, Solapur, Maharashtra 413003, India",Solapur,Government Laboratory,,,
"Haffkine Institute, Mumbai","Haffkine Institute, Acharya Donde Marg, Parel, Mumbai 400012, Maharashtra",Mumbai,Government Laboratory,,,
"Shree Bhausaheb Hire Govt Medical College, Dhule","Shree Bhausaheb Hire Govt Medical College, Chakkarbardi, Malegaon Road, Dhule, Maharashtra 424001",Dhule,Government Laboratory,,,
"Government Medical College And Hospital, Miraj","Government Medical College And Hospital, Pandharpur Rd, Maji Sainik Vasahat, Miraj, Maharashtra 416410",Miraj,Government Laboratory,,,
