Name,Address,Location,Type,,,
"ICMR-Regional Medical Research Centre (RMRC), Bhubaneswar","ICMR-Regional Medical Research Centre (RMRC), Chandrasekharpur, Bhubaneswar - 751 023, Odisha",Bhubaneswar,Government Laboratory,,,
"All India Institute of Medical Sciences (AIIMS), Bhubaneswar","All India Institute of Medical Sciences (AIIMS), Sijua, Patrapada, Bhubaneswar, Odisha 751019",Bhubaneswar,Government Laboratory,,,
"SCB Medical College, Cuttack","SCB Medical College, PG Hostel, Cuttack, Odisha 753001",Cuttack,Government Laboratory,,,
"M.K.C.G Medical College, Berhampur","M.K.C.G Medical College, National Highway 59, Berhampur, District - Ganjam, Odisha. Pin: 760 004, India",Berhampur,Government Laboratory,,,
"Institute of Life Sciences (ILS), Bhubaneswar","Institute of Life Sciences (ILS), NALCO Square, Bhubaneswar 751023, Odisha, India",Bhubaneswar,Government Laboratory,,,
"Ispat General Hospital (IGH), Rourkela","Ispat General Hospital (IGH), Sector 19, Rourkela Steel Plant, Rourkela, 769011, Odisha, India",Rourkela,Government Laboratory,,,
"Department of Laboratory Services Apollo Hospitals, Bhubaneswar","Department of Laboratory Services Apollo Hospitals, Plot no 251, Sainik School Rd, Unit 15, Gajapati Nagar, Bhubaneswar, Odisha 751005",Bhubaneswar,Private Laboratory,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
