Name,Address,Location,Type,,,
"King Institute of Preventive Medicine and Research, Chennai","King Institute of Preventive Medicine and Research, Chennai",Chennai,Government Laboratory,,,
"Madras Medical College, Chennai, Tamil Nadu","Madras Medical College, Near Park Town Station, Park Town, Chennai, Tamil Nadu 600003",Chennai,Government Laboratory,,,
"Government Theni Medical College, Theni","Govt. Theni Medical College, k. villakku, Tamil Nadu 625531",Theni,Government Laboratory,,,
"Tirunelveli Medical College, Tirunelveli","Tirunelveli Medical College, 3, High Ground Rd, Palayamkottai, Tirunelveli, Tamil Nadu 627011",Tirunelveli,Government Laboratory,,,
"Government Medical College, Thiruvarur","Government Medical College, Collector office Master Plan Complex, Collector Office Road, Thiruvarur, Tamil Nadu 610004",Thiruvar,Government Laboratory,,,
"Kumar Mangalam Government Medical College, Salem","Government Mohan Kumaramangalam Medical College, Steel Plant Road Sarkar Kollappatty, Salem, Tamil Nadu 636030",Salem,Government Laboratory,,,
"Coimbatore Medical College, Coimbatore","Coimbatore Medical College, 1 A, SF No 498, Avinashi Rd, Peelamedu, Civil Aerodrome Post, Coimbatore, Tamil Nadu 641018",Coimbatore,Government Laboratory,,,
"Government Villupuram Medical College, Villupuram","Government Villupuram Medical College, Mundiyampakkam, Villupuram, Tamil Nadu 605601",Villupuram,Government Laboratory,,,
"Madurai Medical College, Madurai","Medical College, Medical College Rd, Alwarpuram, Madurai, Tamil Nadu 625020",Madurai,Government Laboratory,,,
"K.A.P. Viswanatham Government Medical College, Trichy","K.A.P. Viswanatham Government Medical College, Periyamilaguparai, Colletor's office Road, Trichy, Tamil Nadu 620001",Trichy,Government Laboratory,,,
"IRT Perundurai Medical College, Perundurai","IRT Perundurai Medical College, Perundurai -638053 Erode District TamilNadu, India",Perundurai,Government Laboratory,,,
"Government Dharmapuri Medical College, Dharmapuri","Government Dharmapuri Medical College, Nethaji byepass Road, Dharmapuri, Tamil Nadu, 636701 India",Dharmapuri,Government Laboratory,,,
"Government Vellore Medical College, Vellore","Government Vellore Medical College, Sapthalipuram, Pennathur, Adukkamparai, Tamil Nadu 632011",Vellore,Government Laboratory,,,
"State Public Health Laboratory, Chennai","State Public Health Laboratory, Chokkalingam Nagar, Teynampet, Chennai, Tamil Nadu 600086",Chennai,Government Laboratory,,,
"ICMR-National Institute of Epidemiology, Chennai","ICMR-National Institute of Epidemiology, Second Main Road, Tamil Nadu Housing Board, Ayapakkam, Near Ambattur, Chennai 600077, Tamil Nadu, India",Chennai,Government Laboratory,,,
"Kanyakumari Government Medical College, Nagercoil","Kanyakumari Government Medical College, Asaripallam, Nagercoil, Kanyakumari, Tamil Nadu, India-629201",Nagercoil,Government Laboratory,,,
"Christian Medical College, Vellore","Department of Clinical Virology, Christian Medical College, 9th Floor, ASHA Building, IDA Scudder Road, Christian Medical College, Vellore, Tamil Nadu, India Pin 632004",Vellore,Private Laboratory,,,
"Apollo Hospitals Enterprise Limited, Chennai","Department of Laboratory Services, Apollo Hospitals Enterprise Limited, 21 Greams Lane, Off Greams Road, Chennai Tamil Nadu Pin 600006",Chennai,Private Laboratory,,,
"Neuberg Ehrlich Laboratory Pvt Ltd, Chennai","Neuberg Ehrlich Laboratory Pvt Ltd, 46 & 48, Masilamani Road, Balaji Nagar, Royapettah, Chennai - 600 014, Tamil Nadu",Chennai,Private Laboratory,,,
"Sri Ramachandra Laboratory Services, Chennai","No.1 Ramachandra Nagar, Porur, Chennai - 600116 Tamil Nadu, India",Chennai,Private Laboratory,,,
"Microbiological Laboratory, Coimbatore","Microbiological laboratory, no-02, kings colony, united nagar, veerakeralam road, vadavalli, Coimbatore, Tamil Nadu, Indi",Coimbatore,Private Laboratory,,,
"Y. R. Gaitonde Centre for AIDS Research and Education (YRG Care), Chennai","Division of Molecular Biology & Genotyping, YRG CARE Infectious Diseases Laboratory VHS Hospital Campus, Rajiv Gandhi Road, Tharamani, Chennai, Tamil Nadu 600113",Chennai,Private Laboratory,,,
"K.A.P. Viswanatham Government Medical College, Trichy","K.A.P.Viswanatham Government Medical College, Periyamilaguparai, Colletor's office Road, Trichy, Tamil Nadu 620001",Trichy,Private Laboratory,,,
"Madras Medical Mission Clinical Laboratory Services, Chennai","Madras Medical Mission Clinical, Laboratory Services, 4-A, Dr. J. Jayalalitha Nagar, Mogappair, Chennai-600037, India",Chennai,Private Laboratory,,,
"MIOT Hospitals – Department of Laboratory Medicine, Chennai","MIOT Hospitals – Department of Laboratory Medicine, No : 4/112, Mount Poonamallee Road, Manapakkam, Chennai-600089, Tamil Nadu",Chennai,Private Laboratory,,,
"PSG Hospitals Diagnostic Centre, Coimbatore","PSG Hospitals Diagnostic Centre, Avinashi Rd, Peelamedu, Coimbatore, Tamil Nadu 641004",Coimbatore,Private Laboratory,,,
"Gandhi Medical College, Secunderabad","Gandhi Medical College, Musheerabad, Padmarao Nagar, Secunderabad, Telangana 500003",Secunderabad,Government Laboratory,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
