Name,Address,Location,Type,,,
"Gandhi Medical College, Secunderabad","Gandhi Medical College, Musheerabad, Padmarao Nagar, Secunderabad, Telangana 500003",Secunderabad,Government Laboratory,,,
"Osmania Medical College, Hyderabad","Osmania Medical College, 5-1-876, Turrebaz Khan Rd, Troop Bazaar, Koti, Hyderabad, Telangana 500095",Hyderabad,Government Laboratory,,,
"Sir Ronald Ross of Tropical & Communicable Diseases, Hyderabad","Sir Ronald Ross of Tropical & Communicable Diseases, (Fever Hospital), CGHS Complex, Old Aiport Road, Motilal Nehru Nagar, Begumpet, Hyderabad, Telangana 500016",Hyderabad,Government Laboratory,,,
"Nizam's Institute Of Medical Sciences, Hyderabad","Punjagutta Rd, Punjagutta Market, Punjagutta, Hyderabad, Telangana 500082",Hyderabad,Government Laboratory,,,
"Institute of Preventive Medicine, Hyderabad","Institute of Preventive Medicine, Narayanaguda, Hyderabad, Telangana 500029",Hyderabad,Government Laboratory,,,
"CSIR - Centre for Cellular and Molecular Biology, Hyderabad","Centre for Cellular and Molecular Biology, Uppal Rd, IICT Colony, Habsiguda, Hyderabad, Telangana 500007",Hyderabad,Government Laboratory,,,
"Centre for DNA Fingerprinting and Diagnostics (CDFD), Hyderabad","Centre for DNA Fingerprinting and Diagnostics (CDFD), Inner Ring Road, Uppal, Hyderabad – 500039, Telangana, India",Hyderabad,Government Laboratory,,,
"Laboratory Services Apollo Hospitals, Hyderabad","Laboratory Services Apollo Hospitals Hyderabad, 6th Floor Health street Building, Jubilee Hills, Hyderabad 500096",Hyderabad,Private Laboratory,,,
"Vijaya Diagnostic Centre Pvt. Ltd, Hyderabad","Vijaya Diagnostic Centre Pvt. Ltd, 3-6-16 & 17, Street No.19, opp. Lane to Tanishq, Chandra Nagar, Himayatnagar, Hyderabad, Telangana 500029",Hyderabad,Private Laboratory,,,
"Vimta Labs Ltd., Hyderabad","Vimta Labs Ltd., Plot No. 142, Phase 2, IDA Cherlapally, Hyderabad, Telangana, India 500051",Hyderabad,Private Laboratory,,,
"Apollo Health and Lifestyle Limited-Secunderabad, Diagnostics Laboratory, Hyderabad","Apollo Health and Lifestyle Limited-Secunderabad, Diagnostics Laboratory, NOS, 140/A, 140/B, 140/C, 141/A, 141/B, 141/C, Thokatta Village, Bowenpally, Secunderabad, Telangana, Hyderabad-500011",Hyderabad,Private Laboratory,,,
"Dr. Remedies labs Private Limited , Hyderabad","Dr. Remedies labs Private Limited , Titus Plaza, 1st Floor, Sharma Commercial Complex, Hyderabad, Telangana 500082",Hyderabad,Private Laboratory,,,
"PATHCARE Labs Pvt. Ltd., Hyderabad","PATHCARE Labs Pvt. Ltd., Sy. #34, Opp: Geethanjali Engineering College, Cheeryal (V), Keesara (M), Greater Hyderabad, Telangana 501301",Hyderabad,Private Laboratory,,,
"AMERICAN Institute of Pathology and Laboratory Sciences Private Limited, Hyderabad","AMERICAN Institute of Pathology and Laboratory Sciences Private Limited, Door No. 1-100/CCH, Second Floor, At Citizens Hospital, Nallagandla, Serilingampally, Hyderabad, Telangana 500019",Hyderabad,Private Laboratory,,,
"Medcis Pathlabs India Pvt.Ltd., Secunderabad","Medcis Pathlabs India Pvt.Ltd., Plot 16 & 17, Swathi Plaza, Bhavani Enclave, Anand Nagar, New Bowenpally, near Asish Gardens, Hyderabad, Telangana 500011",Hyderabad,Private Laboratory,,,
"The Department of Laboratory Medicine, Yashoda Hospital, Secunderabad","The Department of Laboratory Medicine, Yashoda Hospital, 9th Floor, 1-1-156 & 157, Alexander Road, S. P. Road, Secunderabad, Telangana 500003",Secunderabad,Private Laboratory,,,
"Biognosys Technologies (India) Private Limited, Hyderabad","Biognosys Technologies (India) Private Limited, # 8 - 148/174/11, NRI Colony, ALEAP Industrial Area, Medchal, Malkajgiri, Hyderabad, Telangana 500090, India",Hyderabad,Private Laboratory,,,
"Department of Laboratory Medicine, Star Hospitals, A Unit of UNIMED Healthcare Pvt Ltd, Hyderabad","Department of Laboratory Medicine, Star Hospitals, A Unit of UNIMED Healthcare Pvt Ltd. # 8-2-594/B, Road No. 10, Banjara Hills, Hyderabad- 500034, Telangana",Hyderabad,Private Laboratory,,,
"Tenet Diagnostics (A Unit of Center for Excellence in Medical Services Private Limited), Hyderabad","Tenet Diagnostics (A Unit of Center for Excellence in Medical Services Private Limited), Plot No 51, Kineta Towers, Journalist Colony, Road No 3, Banjara Hills, Hyderabad, Telangana 500034",Hyderabad,Private Laboratory,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
