Name,Address,Location,Type,,,
"ICMR-National Institute of Cholera & Enteric Diseases (NICED), Kolkata","ICMR-National Institute of Cholera & Enteric Diseases (NICED), P-33, C.I.T. Road, Scheme XM, Beleghata, Kolkata 700 010, India",Kolkata,Government Laboratory,,,
"Institute of Post Graduate Medical Education and Research (IPGMER), Kolkata","Institute of Post Graduate Medical Education and Research (IPGMER), 244, Acharya Jagadish Chandra Bose Rd, Bhowanipore, Kolkata, West Bengal 700020",Kolkata,Government Laboratory,,,
"Midnapore Medical College, Midnapore","Midnapore Medical College, Vidyasagar Road , Paschim Medinipur, Midnapore, West Bengal, 721 101",Midnapore,Government Laboratory,,,
"North Bengal Medical College, Siliguri","North Bengal Medical College, Sushruta Nagar, Siliguri, West Bengal 734012",Siliguri,Government Laboratory,,,
"School of Tropical Medicine, Kolkata","School of Tropical Medicine, 108, Chittaranjan Avenue, Kolkata - 700073, West Bengal",Kolkata,Government Laboratory,,,
"Malda Medical College, Malda","Malda Medical College, Dipak Rd, 3 No. Govt Colony, Uma Roy Sarani, Malda, West Bengal 732101",Malda,Government Laboratory,,,
"Command Hospital (Eastern Command), Kolkata","Command Hospital (Eastern Command), Alipore, Kolkata, Pin- 700027, West Bengal, India",Kolkata,Government Laboratory,,,
"Apollo Gleneagles Hospitals, Kolkata","Apollo Gleneagles Hospitals, 58, Canal Circular Road, Kolkata, West Bengal 700054",Kolkata,Private Laboratory,,,
"Tata Medical Center, Kolkata","Department of Laboratory Sciences, Tata Medical Center, 14, MAR(E-W), DH Block(Newtown), Action Area I, Newtown, Kolkata, West Bengal 700160",Kolkata,Private Laboratory,,,
"Laboratory Services, Peerless Hospitex Hospital & Research Center Limited, Kolkata","Laboratory Services, Peerless Hospitex Hospital & Research Center Limited, 360, Panchasayar, Kolkata, West Bengal 700094, India",Kolkata,Private Laboratory,,,
"AMRI Hospitals, Department of Laboratory Medicine, Kolkata","AMRI Hospitals, Department of Laboratory Medicine, JC 16 & 17, Sector III, Salt Lake City, Kolkata, West Bengal -700098, India",Kolkata,Private Laboratory,,,
"Suraksha Diagnostics Pvt. Ltd., Kolkata","Suraksha Diagnostics Pvt. Ltd., 12/1, Premises No. 02-0327, DG Block, Action Area 1D, Newtown, Kolkata, West Bengal 700156, India",Kolkata,Private Laboratory,,,
"Dr. Lal PathLabs Ltd, Reference Laboratory, Kolkata","Dr. Lal PathLabs Ltd, Reference Laboratory, Plot No. CB-31/1, Premises No. 031-0199, Street No, 199 Action area IC, Newtown, Kolkata-700156, West Bengal",Kolkata,Private Laboratory,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
