UID,State,29-04-20
1,Andaman and Nicobar Islands,15
2,Andhra Pradesh,321
3,Arunachal Pradesh,1
4,Assam,29
5,Bihar,65
6,Chandigarh,17
7,Chhattisgarh,36
8,Delhi,1092
9,Goa,7
10,Gujarat,527
11,Haryana ,209
12,Himachal Pradesh,25
13,Jammu and Kashmir,192
14,Jharkhand ,19
15,Karnataka,223
16,Kerala,369
17,Ladakh,16
18,Madhya Pradesh,461
19,Maharashtra,1593
20,Manipur,2
21,Meghalaya,0
22,Mizoram,0
23,Odisha,39
24,Puducherry ,5
25,Punjab,90
26,Rajasthan ,768
27,Tamil Nadu,1210
28,Telengana,367
29,Tripura,2
30,Uttarakhand,36
31,Uttar Pradesh,513
32,West Bengal,124
,,8373
