UID,State,29-04-20,,,,02-05-20,03-May,04-05-20,05-05-20,06-05-20,07-05-20,08-05-20,09-05-20,10-05-20,11-05-20,12-05-20,13-05-20,14-05-20,15-05-20,16-05-20
UID,Andaman and Nicobar Islands,33,,,,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33
UID,Andhra Pradesh,1403,,,,1533,1533,1583,1717,1777,1847,1887,1930,1980,2018,2090,2137,2205,2307,2355
UID,Arunachal Pradesh,1,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
UID,Assam,42,,,,43,43,43,43,45,54,59,59,63,65,65,80,87,90,92
UID,Bihar,403,,,,482,482,503,536,542,550,571,579,696,747,831,940,994,1018,1179
UID,Chandigarh,56,,,,94,94,99,111,120,134,137,150,169,174,187,187,191,191,191
UID,Chhattisgarh,38,,,,43,43,57,59,59,59,59,59,59,59,59,59,60,66,67
UID,Delhi,3439,,,,4122,4122,4549,5104,5532,5980,6318,6542,6923,7233,7639,7998,8470,8895,9333
UID,Goa,7,,,,7,7,7,7,7,7,7,7,7,7,7,7,14,15,17
UID,Gujarat,4082,,,,5055,5055,5428,6245,6625,7012,7402,7797,8194,8541,8903,9267,9591,9931,10988
UID,Haryana ,310,,,,394,394,442,548,594,625,647,675,703,730,780,793,818,818,887
UID,Himachal Pradesh,40,,,,40,40,40,42,45,46,50,50,55,59,65,66,74,76,78
UID,Jammu and Kashmir,581,,,,666,666,701,741,775,793,823,836,861,879,934,971,983,1013,1121
UID,Jharkhand ,107,,,,115,115,118,125,127,131,131,132,157,160,172,173,197,203,217
UID,Karnataka,557,,,,606,606,624,671,693,705,753,794,848,862,925,959,987,1056,1092
UID,Kerala,496,,,,500,500,502,502,503,503,503,505,512,519,534,534,560,576,587
UID,Ladakh,22,,,,40,40,41,41,41,42,42,42,42,42,42,43,43,43,43
UID,Madhya Pradesh,2660,,,,2846,2846,2886,3049,3138,3252,3341,3341,3614,3785,3986,4173,4426,4595,4789
UID,Maharashtra,9915,,,,12296,12296,13978,15525,16758,17974,19063,20228,22174,23401,24427,25922,27524,29100,30706
UID,Manipur,2,,,,2,2,2,2,2,2,2,2,2,2,2,2,3,3,7
UID,Meghalaya,12,,,,12,12,12,12,12,12,12,12,13,13,13,13,13,13,13
UID,Mizoram,1,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
UID,Odisha,128,,,,160,160,164,175,185,219,271,294,377,414,437,538,611,672,737
UID,Puducherry ,8,,,,8,8,9,9,9,9,9,9,9,12,13,13,13,13,13
UID,Punjab,357,,,,772,772,1102,1451,1516,1644,1731,1762,1823,1877,1914,1924,1935,1935,1946
UID,Rajasthan ,2438,,,,2772,2772,2884,3158,3317,3427,3579,3636,3814,3988,4126,4328,4534,4727,4960
UID,Tamil Nadu,2162,,,,2757,2757,3023,4058,4829,5409,6009,6535,7204,8002,8718,9227,9674,10108,10585
UID,Telengana,1012,,,,1063,1063,1082,1096,1107,1123,1123,1133,1196,1275,1326,1367,1414,1454,1509
UID,Tripura,2,,,,4,4,19,43,47,65,118,118,150,152,154,155,156,156,167
UID,Uttarakhand,55,,,,59,59,60,61,61,61,63,67,68,68,69,72,78,82,88
UID,Uttar Pradesh,2203,,,,2626,2626,2708,2880,2998,3071,3186,3214,3467,3573,3664,3729,3902,4057,4258
UID,West Bengal,758,,,,922,922,998,1344,1456,1548,1678,1786,1949,2063,2173,2290,2377,2461,2576
