UID,State,01-05-20,02-05-20,03-05-20,04-05-20,05-05-20,06-05-20,07-05-20,08-05-20,09-05-20,10-05-20,11-05-20,12-05-20,13-05-20,14-05-20,15-05-20,16-05-20,17-05-20,18-05-20,19-05-20,20-05-20,21-05-20,22-05-20,23-05-20,24-05-20,25-05-20,26-05-20,27-05-20,28-05-20,29-05-20,30-05-20,31-05-20,29-05-20,30-05-20,31-05-20
1,Andaman and Nicobar Islands,16,17,22,32,32,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33
2,Andhra Pradesh,441,488,504,589,589,729,780,824,837,925,975,1056,1142,1192,1252,1353,1456,1552,1621,1640,1709,1763,1809,1856,1896,2009,2057,2125,2226,2289,2349,2226,2289,2349
3,Arunachal Pradesh,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4,Assam,32,32,32,32,32,32,34,34,34,34,34,39,39,39,41,41,41,41,41,48,54,54,55,55,62,62,87,104,125,163,185,125,163,185
5,Bihar,98,117,125,142,142,188,246,297,322,365,377,383,388,411,438,453,475,494,534,571,593,629,653,702,749,900,1083,1211,1211,1618,1710,1211,1618,1710
6,Chandigarh,17,19,19,21,21,21,21,21,24,24,24,28,28,37,37,51,51,54,57,57,139,178,179,186,186,187,187,189,189,189,199,189,189,199
7,Chhattisgarh,36,36,36,36,36,36,38,38,43,49,53,54,55,56,56,56,59,59,59,59,59,62,64,67,72,79,83,83,100,102,115,100,102,115
8,Dadra Nagar Haveli,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Delhi,1167,1256,1362,1468,1482,1542,1931,2007,2020,2069,2129,2512,2858,3045,3518,3926,4485,4485,4750,5192,5567,5897,6267,6540,6771,7223,7264,7495,7846,8075,8478,7846,8075,8478
10,Goa,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,16,16,19,19,28,37,38,41,41,42,41,41,42
11,Gujarat,735,896,1042,1381,1420,1500,1709,1872,2091,2545,2780,3246,3565,3753,4035,4308,4499,4804,5043,5219,5488,5880,6169,6412,6636,7139,7549,8003,8611,9230,9919,8611,9230,9919
12,Haryana ,227,227,245,256,256,260,260,279,290,300,337,342,418,439,439,514,562,598,627,648,681,706,750,765,765,824,838,881,940,971,1048,940,971,1048
13,Himachal Pradesh,30,33,34,38,38,38,38,38,38,49,39,39,39,39,39,43,44,44,47,54,59,59,61,63,67,67,70,70,87,111,120,87,111,120
14,Jammu and Kashmir,247,254,287,320,320,322,335,360,368,383,427,455,466,485,513,542,575,609,653,678,684,720,774,809,809,833,854,859,875,908,927,875,908,927
15,Jharkhand ,20,22,25,33,33,37,41,52,78,78,78,79,79,87,87,113,113,113,127,127,129,136,141,148,148,175,185,212,216,256,256,216,256,256
16,Karnataka,255,282,293,331,335,354,366,376,386,424,426,433,451,460,480,496,509,530,544,556,571,597,608,654,705,748,781,834,894,997,1218,894,997,1218
17,Kerala,392,400,422,462,463,469,474,484,485,489,489,489,490,491,492,495,497,497,497,502,510,512,515,521,532,542,552,555,565,575,590,565,575,590
18,Ladakh,17,17,17,17,17,17,17,17,17,21,21,21,22,22,22,22,24,41,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43
19,Madhya Pradesh,524,798,884,1000,1032,1099,1231,1349,1676,1676,1747,1860,2004,2171,2283,2315,2403,2435,2630,2733,2843,3089,3267,3408,3571,3689,3927,4050,4269,4444,4842,4269,4444,4842
20,Maharashtra,1879,2000,2198,2819,2975,3094,3301,3470,3800,4199,4786,5125,5547,6059,6564,7088,7688,8437,9639,10318,11726,12583,13404,14600,15786,16954,17918,18616,26997,28081,29329,26997,28081,29329
21,Manipur,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,5,8,8,11,8,8,11
22,Meghalaya,0,10,10,10,10,10,10,10,10,10,10,10,10,11,11,11,11,11,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
23,Mizoram,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
24,Nagaland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,Odisha,55,56,56,60,60,61,62,63,63,68,85,116,143,158,166,196,220,220,277,307,393,436,497,550,649,733,733,887,887,1050,1126,887,1050,1126
26,Puducherry ,5,5,5,6,6,6,6,6,6,6,6,9,9,9,9,9,9,9,9,9,10,10,10,12,12,12,12,14,14,14,25,14,14,25
27,Punjab,112,112,117,133,133,135,149,152,157,166,168,171,200,223,305,1257,1366,1547,1642,1794,1819,1847,1870,1898,1898,1918,1918,1946,1949,1967,1987,1949,1967,1987
28,Rajasthan ,1116,1121,1356,1525,1545,1596,1596,1916,2026,2176,2264,2378,2459,2580,2677,2839,2992,3218,3337,3404,3485,3680,3786,3848,3951,4171,4457,4817,5244,5739,5927,5244,5739,5927
29,Sikkim,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,Tamil Nadu,1312,1341,1379,1485,1485,1516,1547,1605,1824,1959,2051,2134,2176,2240,2599,3538,4172,4406,4895,5882,6282,7128,7491,8324,8731,9342,9909,10548,11313,12000,12757,11313,12000,12757
31,Telengana,441,458,510,585,605,628,650,700,750,750,800,830,940,950,959,971,992,1000,1010,1015,1035,1043,1065,1090,1164,1284,1284,1345,1381,1412,1428,1381,1412,1428
32,Tripura,2,2,2,2,2,2,2,2,2,2,2,2,16,29,42,64,85,85,116,133,148,152,153,165,165,165,165,167,171,172,173,171,172,173
33,Uttarakhand,37,39,39,39,39,39,39,46,46,46,46,46,46,50,51,51,52,52,52,53,54,56,56,58,58,64,79,79,102,102,102,102,102,102
34,Uttar Pradesh,656,698,784,987,1042,1130,1250,1387,1499,1653,1758,1873,1902,2072,2165,2441,2441,2783,2918,3066,3204,3238,3406,3538,3581,3698,3991,4215,4244,4410,4709,4244,4410,4709
