Country,Jan,Feb,March,April,
Afghanistan,0,1,174,1939,
Albania,0,0,243,766,
Algeria,0,1,716,3848,
Andorra,0,0,376,743,
Angola,0,0,7,27,
Antigua and Barbuda,0,0,7,24,
Argentina,0,0,1054,4285,
Armenia,0,0,532,1932,
Australia,9,25,4559,6752,
Austria,0,9,10180,15402,
Azerbaijan,0,0,298,1766,
Bahamas,0,0,14,80,
Bahrain,0,41,567,2921,
Bangladesh,0,0,51,7103,
Barbados,0,0,34,80,
Belarus,0,1,152,13181,
Belgium,0,1,12775,47859,
Belize,0,0,3,18,
Benin,0,0,9,64,
Bhutan,0,0,4,7,
Bolivia,0,0,107,1110,
Bosnia and Herzegovina,0,0,420,1677,
Botswana,0,0,4,23,
Brazil,0,2,5717,79685,
Brunei,0,0,129,138,
Bulgaria,0,0,399,1447,
Burkina Faso,0,0,261,641,
Burma,0,0,15,150,
Burundi,0,0,2,11,
Cabo Verde,0,0,6,114,
Cambodia,1,1,109,122,
Cameroon,0,0,193,1832,
Canada,4,20,8527,52865,
Central African Republic,0,0,3,50,
Chad,0,0,7,52,
Chile,0,0,2738,14885,
China,9802,79356,82279,83944,
Colombia,0,0,906,6207,
Congo (Brazzaville),0,0,19,207,
Congo (Kinshasa),0,0,98,491,
Costa Rica,0,0,347,713,
Cote d'Ivoire,0,0,179,1238,
Croatia,0,6,867,2062,
Cuba,0,0,186,1467,
Cyprus,0,0,262,843,
Czechia,0,0,3308,7579,
Denmark,0,3,3039,9206,
Diamond Princess,0,705,712,712,
Djibouti,0,0,30,1077,
Dominica,0,0,12,16,
Dominican Republic,0,0,1109,6652,
Ecuador,0,0,2240,24675,
Egypt,0,1,710,5268,
El Salvador,0,0,32,377,
Equatorial Guinea,0,0,12,315,
Eritrea,0,0,15,39,
Estonia,0,1,745,1666,
Eswatini,0,0,9,91,
Ethiopia,0,0,26,130,
Fiji,0,0,5,18,
Finland,1,3,1418,4906,
France,5,100,52827,166543,
Gabon,0,0,16,276,
Gambia,0,0,4,10,
Georgia,0,1,110,517,
Germany,5,79,71808,161539,
Ghana,0,0,161,1671,
Greece,0,4,1314,2576,
Grenada,0,0,9,20,
Guatemala,0,0,38,557,
Guinea,0,0,22,1351,
Guinea-Bissau,0,0,8,205,
Guyana,0,0,12,78,
Haiti,0,0,15,76,
