Country,Jan,Feb,March,April,
Afghanistan,0,0,5,252,
Albania,0,0,52,455,
Algeria,0,0,46,1702,
Andorra,0,0,10,423,
Angola,0,0,1,7,
Antigua and Barbuda,0,0,0,11,
Argentina,0,0,240,1192,
Armenia,0,0,30,900,
Australia,2,11,358,5715,
Austria,0,0,1095,12779,
Azerbaijan,0,0,26,1267,
Bahamas,0,0,1,23,
Bahrain,0,0,295,1455,
Bangladesh,0,0,25,150,
Barbados,0,0,0,39,
Belarus,0,0,47,2072,
Belgium,0,1,1696,11283,
Belize,0,0,0,9,
Benin,0,0,1,33,
Bhutan,0,0,0,5,
Bolivia,0,0,0,117,
Bosnia and Herzegovina,0,0,17,710,
Botswana,0,0,0,5,
Brazil,0,0,127,34132,
Brunei,0,0,45,124,
Bulgaria,0,0,17,243,
Burkina Faso,0,0,32,498,
Burma,0,0,0,27,
Burundi,0,0,0,4,
Cabo Verde,0,0,0,2,
Cambodia,0,1,23,119,
Cameroon,0,0,5,934,
Canada,0,6,1592,20327,
Central African Republic,0,0,0,10,
Chad,0,0,0,19,
Chile,0,0,156,8057,
China,214,39320,76206,78474,
Colombia,0,0,31,1411,
Congo (Brazzaville),0,0,0,19,
Congo (Kinshasa),0,0,2,59,
Costa Rica,0,0,4,323,
Cote d'Ivoire,0,0,7,557,
Croatia,0,0,67,1288,
Cuba,0,0,8,617,
Cyprus,0,0,23,148,
Czechia,0,0,45,3108,
Denmark,0,0,77,6558,
Diamond Princess,0,10,603,645,
Djibouti,0,0,0,599,
Dominica,0,0,0,13,
Dominican Republic,0,0,5,1228,
Ecuador,0,0,54,1557,
Egypt,0,1,157,1335,
El Salvador,0,0,0,106,
Equatorial Guinea,0,0,1,9,
Eritrea,0,0,0,19,
Estonia,0,0,26,236,
Eswatini,0,0,0,10,
Ethiopia,0,0,2,58,
Fiji,0,0,0,12,
Finland,0,1,10,2800,
France,0,12,9513,49118,
Gabon,0,0,0,67,
Gambia,0,0,0,8,
Georgia,0,0,21,178,
Germany,0,16,16100,120400,
Ghana,0,0,31,188,
Greece,0,0,52,577,
Grenada,0,0,0,13,
Guatemala,0,0,12,62,
Guinea,0,0,0,313,
Guinea-Bissau,0,0,0,19,
Guyana,0,0,0,18,
Haiti,0,0,1,8,
Holy See,0,0,0,2,
Honduras,0,0,3,73,
Hungary,0,0,37,536,
Iceland,0,0,198,1656,
India,0,3,123,8437,
Indonesia,0,0,81,1391,
Iran,0,123,14656,73791,
Iraq,0,0,170,1346,
Ireland,0,0,5,13386,
Israel,0,1,224,8233,
Italy,0,46,15729,71252,
Jamaica,0,0,2,29,
Japan,1,32,424,2368,
Jordan,0,0,30,356,
Kazakhstan,0,0,24,819,
Kenya,0,0,1,129,9059
Korea, South,0,27,5408,
Kosovo,0,0,6,93,
Kuwait,0,0,73,1389,
Kyrgyzstan,0,0,3,437,
Laos,0,0,0,7,
Latvia,0,0,1,348,
Lebanon,0,0,37,150,
Liberia,0,0,0,45,
Libya,0,0,1,18,
Liechtenstein,0,0,0,55,
Lithuania,0,0,7,563,
Luxembourg,0,0,80,3134,
MS Zaandam,0,0,0,0,
Madagascar,0,0,0,90,
Malawi,0,0,0,7,
Malaysia,0,18,537,4087,
Maldives,0,0,13,17,
Mali,0,0,0,129,
Malta,0,0,2,339,
Mauritania,0,0,2,6,
Mauritius,0,0,0,306,
Mexico,0,0,35,11423,
Moldova,0,0,18,1114,
Monaco,0,0,2,58,
Mongolia,0,0,2,10,
Montenegro,0,0,0,203,
Morocco,0,0,24,928,
Mozambique,0,0,0,12,
Namibia,0,0,2,8,
Nepal,0,1,1,16,
Netherlands,0,0,253,119,
New Zealand,0,0,74,1241,
Nicaragua,0,0,0,7,
Niger,0,0,0,435,
Nigeria,0,0,8,307,
North Macedonia,0,0,12,627,
Norway,0,0,13,32,
Oman,0,1,34,364,
Pakistan,0,0,76,3425,
Panama,0,0,9,527,
Papua New Guinea,0,0,0,0,
Paraguay,0,0,1,102,
Peru,0,0,394,10037,
Philippines,0,1,49,1023,
Poland,0,0,7,3025,
Portugal,0,0,43,1470,
Qatar,0,0,62,1243,
Romania,0,0,220,3569,
Russia,0,2,121,10286,
Rwanda,0,0,0,98,
Saint Kitts and Nevis,0,0,0,4,
Saint Lucia,0,0,1,15,
Saint Vincent and the Grenadines,0,0,1,8,
San Marino,0,0,13,69,
Sao Tome and Principe,0,0,0,4,
Saudi Arabia,0,0,165,2953,
Senegal,0,0,40,315,
Serbia,0,0,0,870,
Seychelles,0,0,0,6,
Sierra Leone,0,0,0,12,
Singapore,0,72,240,1188,
Slovakia,0,0,3,484,
Slovenia,0,0,10,230,
Somalia,0,0,1,20,
South Africa,0,0,31,2073,
South Sudan,0,0,0,0,
Spain,0,2,19259,108947,
Sri Lanka,0,1,17,136,
Sudan,0,0,1,32,
Suriname,0,0,0,8,
Sweden,0,0,16,1005,
Switzerland,0,0,1823,22600,
Syria,0,0,0,21,
Taiwan*,0,9,39,311,
Tanzania,0,0,1,167,
Thailand,5,28,342,2665,
Timor-Leste,0,0,0,6,
Togo,0,0,10,64,
Trinidad and Tobago,0,0,1,71,
Tunisia,0,0,3,294,
Turkey,0,0,243,44040,
US,0,7,7024,120720,
Uganda,0,0,0,52,
Ukraine,0,0,10,1103,
United Arab Emirates,0,5,61,2329,
